timestamp,systolic,diastolic
2025-03-15 15:55:07,122,83
2025-03-15 15:55:17,116,77
2025-03-15 15:55:27,122,80
2025-03-15 15:55:37,115,77
2025-03-15 15:55:47,124,79
2025-03-15 15:55:57,116,77
2025-03-15 15:56:07,121,82
2025-03-15 15:56:17,115,77
2025-03-15 15:56:27,117,77
2025-03-15 15:56:37,118,80
2025-03-15 15:56:47,120,83
2025-03-15 15:56:57,125,83
2025-03-15 15:57:07,118,81
2025-03-15 15:57:17,123,77
2025-03-15 15:57:27,118,78
2025-03-15 15:57:37,118,77
2025-03-15 15:57:47,117,82
2025-03-15 15:57:57,119,77
2025-03-15 15:58:08,123,77
2025-03-15 15:58:18,125,82
2025-03-15 15:58:28,121,79
2025-03-15 15:58:38,123,82
2025-03-15 15:58:48,124,82
2025-03-15 15:58:58,120,77
